2025-02-26 22:15:20 INFO     Generating Simulations...
2025-02-26 22:15:25 INFO     Update learning rate: 0.009025
2025-02-26 22:15:25 INFO     [44, 1, 1.8673229217529297]
2025-02-26 22:15:25 INFO     [44, 1, 0.3043345510959625]
2025-02-26 22:15:25 INFO     Update learning rate: 0.009025
2025-02-26 22:15:25 INFO     [45, 1, 0.18854936957359314]
2025-02-26 22:15:25 INFO     [45, 1, 0.28066885471343994]
2025-02-26 22:15:25 INFO     Update learning rate: 0.009025
2025-02-26 22:15:25 INFO     Best model saved at epoch 45 with loss 0.0431
2025-02-26 22:15:25 INFO     [46, 1, 0.14404238760471344]
2025-02-26 22:15:25 INFO     [46, 1, 0.29370826482772827]
2025-02-26 22:15:25 INFO     Update learning rate: 0.009025
2025-02-26 22:15:25 INFO     [47, 1, 0.13476836681365967]
2025-02-26 22:15:25 INFO     [47, 1, 0.3061508536338806]
2025-02-26 22:15:25 INFO     Update learning rate: 0.009025
2025-02-26 22:15:25 INFO     [48, 1, 0.8276011347770691]
2025-02-26 22:15:25 INFO     [48, 1, 0.27806758880615234]
2025-02-26 22:15:25 INFO     Update learning rate: 0.009025
2025-02-26 22:15:25 INFO     [49, 1, 0.35451623797416687]
2025-02-26 22:15:25 INFO     [49, 1, 0.29925060272216797]
2025-02-26 22:15:25 INFO     Update learning rate: 0.00857375
2025-02-26 22:15:25 INFO     [50, 1, 1.5143977403640747]
2025-02-26 22:15:25 INFO     [50, 1, 0.2932898700237274]
2025-02-26 22:15:25 INFO     Update learning rate: 0.00857375
2025-02-26 22:15:25 INFO     [51, 1, 1.006438970565796]
2025-02-26 22:15:25 INFO     [51, 1, 0.3100065588951111]
2025-02-26 22:15:25 INFO     Update learning rate: 0.00857375
2025-02-26 22:15:25 INFO     [52, 1, 0.19221965968608856]
2025-02-26 22:15:25 INFO     [52, 1, 0.31752070784568787]
2025-02-26 22:15:25 INFO     Update learning rate: 0.00857375
2025-02-26 22:15:25 INFO     [53, 1, 0.18605637550354004]
2025-02-26 22:15:25 INFO     [53, 1, 0.3290199041366577]
2025-02-26 22:15:26 INFO     Update learning rate: 0.00857375
2025-02-26 22:15:26 INFO     [54, 1, 0.5533952116966248]
2025-02-26 22:15:26 INFO     [54, 1, 0.3428500294685364]
2025-02-26 22:15:26 INFO     Update learning rate: 0.00857375
2025-02-26 22:15:26 INFO     [55, 1, 5.10124397277832]
2025-02-26 22:15:26 INFO     [55, 1, 0.35841530561447144]
2025-02-26 22:15:26 INFO     Update learning rate: 0.00857375
2025-02-26 22:15:26 INFO     [56, 1, 0.23359286785125732]
2025-02-26 22:15:26 INFO     [56, 1, 0.48713594675064087]
2025-02-26 22:15:26 INFO     Update learning rate: 0.00857375
2025-02-26 22:15:26 INFO     [57, 1, 0.34366539120674133]
2025-02-26 22:15:26 INFO     [57, 1, 0.5950929522514343]
2025-02-26 22:15:26 INFO     Update learning rate: 0.00857375
2025-02-26 22:15:26 INFO     [58, 1, 0.6138182878494263]
2025-02-26 22:15:26 INFO     [58, 1, 0.6644003391265869]
